gameid,title,platform,developers,publishers,genres,supported_languages,release_date
749375,Medieval Match Master,PS4,['Erik Games'],['Erik Games'],['Puzzle'],,2024-11-22
749839,Sunforge Solar Survival,PS4,['GrizzlyGames'],['GrizzlyGames'],,,2024-11-21
749347,Find Love Or Die Trying,PS5,['Sunseeker Games'],['Ratalaika Games'],['Visual Novel'],,2024-11-22
749341,Medieval Match Master,PS4,['Erik Games'],['Erik Games'],['Puzzle'],,2024-11-22
749097,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
749095,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
746306,Trading Card Shop Simulator,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,2024-11-14
746215,Trading Card Shop Simulator,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,2024-11-14
745840,Sprawl,PS5,['MAETH'],['Rogue Games'],['First Person Shooter'],,2024-11-21
746216,Trading Card Shop Simulator,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Simulation'],,2024-11-14
745671,Pipe Connect,PS4,['ASI GAMES TECHNOLOGIES'],['ASI GAMES TECHNOLOGIES'],['Puzzle'],,2024-11-11
745093,Run From Mummies,PS5,['Lost Turnip'],['Lost Turnip'],['Action-Adventure'],,2024-11-06
745453,Neo Harbor Rescue Squad,PS4,['BancyCo'],['BancyCo'],['Action'],"['Chinese (traditional)', 'Chinese (simplified)']",2024-11-12
744562,Racing Champions,PS4,['Revulo Games'],['Revulo Games'],"['Automobile', 'Arcade Racing']",,2024-11-08
744193,Cubic Run,PS4,['Webnetic'],['Webnetic'],['Platformer'],,2024-11-09
744192,Cubic Run,PS5,['Webnetic'],['Webnetic'],['Platformer'],,2024-11-09
749591,Volley Pals,PS4,['NAISU'],['NAISU'],"['Volleyball', 'Sports', 'Party']",,2024-11-22
749407,Hop Up,PS5,['Zakym'],['Zakym'],['Platformer'],,2024-11-23
749385,Hop Up,PS4,['Zakym'],['Zakym'],['Platformer'],,2024-11-23
749302,Slave Zero X,PS4,['Poppy Works'],"['Ziggurat Interactive', 'Beep Japan']",['Action-Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)', 'Spanish (Mexico)', 'Thai']",2024-02-21
749237,Jetpack Kiwi,PS5,['Pitigamedev'],['Ratalaika Games'],"[""Shoot 'em up""]",,2024-11-08
749170,Basketball Legends 24,PS4,['DEZVOLT App & Idei'],['DEZVOLT App & Idei'],"['Sports', 'Basketball']",,2024-10-22
749075,Zen Drift,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,2024-11-21
746288,Unsolved Case: Killer Popularity CE,PS4,['Do Games'],['Legacy Interactive'],"['Adventure', 'Point & Click']",,2024-11-01
746253,Check and Slash,PS5,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],2024-11-15
746144,VED,PS5,['Karaclan Studio'],['Fulqrum Publishing'],"['Role Playing', 'Turn Based']",['Russian'],2024-11-14
746067,LEGO Horizon Adventures,PS5,"['Guerrilla Games', 'Studio Gobo']",['Sony Interactive Entertainment'],['Action-Adventure'],,2024-11-14
745787,The Rise of the Golden Idol,PS5,['Color Gray Games'],['PlayStack'],['Puzzle'],,2024-11-12
745544,Bottle: Pilgrim Redux,PS4,"['Tonguc Bodur', 'Catness Game Studios']",['Catness Game Studios'],['Adventure'],,2024-10-30
745371,GGmuks Casino: Slots,PS4,['GGmuks'],['GGmuks'],['Casino'],,2024-11-10
745370,GGmuks Casino: Slots,PS4,['GGmuks'],['GGmuks'],['Casino'],,2024-11-10
745217,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,2024-11-10
745216,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,2024-11-10
744994,Land Of Mushrooms,PS4,['Source Byte'],['Source Byte'],['Puzzle'],,2024-11-10
744643,Tetris Forever,PS4,['Digital Eclipse'],['Digital Eclipse'],['Puzzle'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)']",2024-11-12
751968,Path of The Builder,PS5,['KODOBUR'],['KODOBUR'],['Simulation'],,2024-11-28
751846,Infinite Switch,PS5,['ThiGames'],['ThiGames'],['Action'],,2024-11-28
751830,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,2024-11-28
751831,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,2024-11-28
750659,Viking Colony Builder Valhalla,PS4,['VRCForge'],['VRCForge'],,,2024-11-19
750969,Rookie Boxing,PS4,['Pix Arts'],['Pix Arts'],"['Sports', 'Boxing']",,2024-10-25
750850,Bug-o-Buster,PS4,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,2024-11-27
750511,TCG Card Shop Empire,PS4,['Md Adnan Hossain'],['Md Adnan Hossain'],,,2024-11-25
750177,Smoots Summer Games II,PS5,['Kaneda Games'],['JanduSoft'],['Sports'],,2024-12-12
750999,Buck Blastem,PS5,['Cascadia Games'],['Cascadia Games'],['Platformer'],,2024-11-22
750064,Detail Hunter,PS5,['Gametry'],['Gametry'],['Puzzle'],,2024-11-22
750176,Smoots Summer Games II,PS5,['Kaneda Games'],['JanduSoft'],['Sports'],,2024-12-12
750062,Jigsaw Puzzle Utopia,PS5,['Gametry'],['Gametry'],['Puzzle'],,2024-11-23
750028,Smoots Summer Games II,PS4,['Kaneda Games'],['JanduSoft'],['Sports'],,2024-12-12
747994,Spellagis,PS5,"['NipoBox', 'eastasiasoft']",['eastasiasoft'],['Roguelite'],,2024-11-20
747893,Super Solitaire,PS5,['The Binary Family'],['Ocean Media'],['Card & Board'],,2024-11-18
747777,Racing Champions,PS5,['Revulo Games'],['Revulo Games'],"['Automobile', 'Arcade Racing']",,2024-11-08
747998,Puzzle Vacations: Italy,PS5,['Tiny Little Lion'],['Ocean Media'],['Puzzle'],,2024-11-19
744407,Suika Animal Kingdom,PS4,['Erik Games'],['Erik Games'],,,2024-11-09
744404,The Fine Art of Murder,PS4,['Infinite Zone'],['Infinite Zone'],['Visual Novel'],,2024-11-06
751953,Robobit8,PS4,['909games'],['Weakfish Studio'],['Platformer'],,2024-11-27
751950,Robobit8,PS5,['909games'],['Weakfish Studio'],['Platformer'],,2024-11-27
750690,Project 13,PS4,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,2024-05-31
750125,Project 13,PS5,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,2024-05-31
747989,Irem Collection Volume 2,PS4,"['Tozai Games', 'Irem']","['ININ Games', 'Strictly Limited Games', 'Tozai Games']",['Collection'],['Japanese'],2024-11-14
747971,Cliff Rush 3D,PS5,['Nextgo24'],['Nextgo24'],['Action'],,2024-11-19
747960,Coffee Simulator Tycoon,PS4,['IndieGames3000'],['IndieGames3000'],['Simulation'],,2024-10-30
747908,Uncle Chop's Rocket Shop,PS5,['Beard Envy'],['Kasedo Games'],"['Roguelite', 'Puzzle']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)']",2024-12-05
747848,Project 13,PS4,['DRYBREAD'],['Dolores Entertainment'],['Adventure'],,2024-05-31
747783,Access Denied: Escape,PS5,['Stately Snail'],['Ratalaika Games'],['Puzzle'],,2024-11-15
747782,Access Denied: Escape,PS4,['Stately Snail'],['Ratalaika Games'],['Puzzle'],,2024-11-15
744412,Horror Clash,PS5,['Smobile'],['Smobile'],['Action'],,2024-10-04
744402,Draw li,PS4,['Zakym'],['Zakym'],"['Puzzle', 'Platformer']",,2024-11-09
753188,Motocross Ramp Madness,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-11-29
753228,Glitch Blaster's Waifu,PS4,['Osando Studio'],['Gamuzumi'],"[""Shoot 'em up""]",,2024-11-29
753043,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,2024-11-28
753185,Motocross Ramp Madness,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-11-29
753037,Basureroes: Invasion,PS4,['Javs Game Studios'],['JanduSoft'],,,2025-01-30
752967,Infinite Switch,PS4,['ThiGames'],['ThiGames'],['Action'],,2024-11-28
747639,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,2024-11-20
747302,Star Truck Simulator,PS4,['Testagamercreations'],['Testagamercreations'],,,2024-11-15
747088,Monkey Kong In New-York,PS4,['Pix Arts'],['Pix Arts'],['Platformer'],,2024-11-15
747045,Suddenly an Ogre,PS4,['Infinite Zone'],['Infinite Zone'],,,2024-11-14
746942,Bubbelsche Deluxe,PS4,['EntwicklerX'],['EntwicklerX'],['Action'],,2024-11-15
746927,The Glory of America,PS4,['RandomSpin Games'],['RandomSpin Games'],,,2024-11-15
747303,Xuan Yuan Sword: The Gate of Firmament,PS5,"['SOFTSTAR Entertainment', 'eastasiasoft']",['eastasiasoft'],"['Role Playing', 'Turn Based']","['Japanese', 'Chinese (traditional)', 'Chinese (simplified)']",2024-12-13
746571,Morels The Hunt 2,PS5,['Abrams Studios'],['Abrams Studios'],['Simulation'],,2024-11-14
746654,Oniria,PS5,['Frost Earth Studio'],['My World'],,,2024-11-22
744194,Cubic Run,PS5,['Webnetic'],['Webnetic'],['Platformer'],,2024-11-09
753515,Uragun,PS4,['Kool2Play'],['Drageus Games'],"[""Shoot 'em up""]",,2024-11-22
747745,Cazzarion: Treasure Diver,PS4,['Zarpazo'],['Zarpazo'],['Platformer'],,2024-08-16
747484,Anomaly Agent,PS4,['Phew Phew Games'],['NAISU'],['Platformer'],['Turkish'],2024-11-15
747227,Bamboo Retro Run,PS5,['Zakym'],['Zakym'],['Platformer'],,2024-11-16
747139,Cube Railway,PS5,['Colossus Game Studio'],['Colossus Game Studio'],['Puzzle'],,2024-11-15
747120,Jankenup!,PS4,['Humita'],['Dolores Entertainment'],['Action'],,2024-11-15
747001,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],2024-11-15
746998,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],2024-11-15
746946,Cuisineer,PS5,['BattleBrew Productions'],['Marvelous Entertainment'],"['Simulation', ""Shoot 'em up"", 'Management', 'Dungeon Crawler']","['Japanese', 'French', 'Spanish', 'German', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Portuguese (Brazil)']",2025-01-28
746804,Learn to Play Vol. 8 - Penalty Shootout,PS4,['eastasiasoft'],['eastasiasoft'],['Action'],,2024-11-15
746745,DecayLore,PS5,['Playstige Interactive'],['Playstige Interactive'],['Adventure'],,2024-11-15
746706,Learn to Play Vol. 8 - Penalty Shootout,PS4,['eastasiasoft'],['eastasiasoft'],['Action'],,2024-11-15
746684,Jumping Boy,PS5,['Webnetic'],['Webnetic'],['Action'],,2024-11-15
746590,GGmuks Casino: Slots,PS5,['GGmuks'],['GGmuks'],['Casino'],,2024-11-10
746411,Heaven Jump,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-03-22
746408,Codex Lost,PS5,['Freemana'],['JanduSoft'],"['Open World', 'Action-RPG', 'Role Playing']",,2024-11-13
746358,Check and Slash,PS4,['Gate of Madness'],['AFIL Games'],"['Roguelite', 'Hack & Slash', 'Card & Board']",['Portuguese (Brazil)'],2024-11-15
752850,Beyond Hanwell,PS5,['Steel Arts Software'],['Steel Arts Software'],['Survival Horror'],,2024-11-28
752778,On The Stairs,PS5,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-11-28
752833,Shooter of the Arcana,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"[""Shoot 'em up""]",,2024-11-28
752840,On The Stairs,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-11-28
752147,On The Stairs,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-11-28
752143,Motocross Ramp Madness,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-11-29
748935,Christmas Race,PS5,['Smobile'],['Smobile'],['Action'],,2024-11-21
748974,Detail Hunter,PS4,['Gametry'],['Gametry'],['Puzzle'],,2024-11-22
748757,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,2024-11-20
748705,Bug-o-Buster,PS4,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,2024-11-27
748703,Bug-o-Buster,PS5,['Xeneder Team'],['Xeneder Team'],"[""Shoot 'em up""]",,2024-11-27
748577,World War II City Rebirth Tycoon,PS4,['IndieGames3000'],['IndieGames3000'],,,2024-11-04
748574,Galaxy Kingdoms,PS5,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,2024-11-20
748528,Ramp Bike Racing,PS5,['Gametry'],['Gametry'],['Platformer'],,2024-11-16
748573,Galaxy Kingdoms,PS4,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,2024-11-20
748290,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
748471,Highway Police Simulator,PS5,['Z-Software'],['AeroSoft'],['Simulation'],,2024-12-05
748289,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
748050,Bust A Block 2,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
748049,Bust A Block 2,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,2024-11-21
748156,Lorelei and the Laser Eyes,PS5,['Simogo'],['Annapurna Interactive'],"['Puzzle', 'Adventure', 'Point & Click']","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-12-03
744195,Cubic Run,PS4,['Webnetic'],['Webnetic'],['Platformer'],,2024-11-09
744151,Gems Rush,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-11-08
743841,Gems Rush,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-11-08
743706,Puzzle Frenzy,PS5,['Playstige Interactive'],['Playstige Interactive'],['Puzzle'],,2024-11-08
743631,Waifu Impact 2,PS5,['Mitsuki Game Studio'],['JanduSoft'],,,2024-11-06
749033,Uragun,PS5,['Kool2Play'],['Drageus Games'],"[""Shoot 'em up""]",,2024-11-22
748499,Zen Drift,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,2024-11-21
748498,Zen Drift,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],"['Automobile', 'Arcade Racing']",,2024-11-21
748011,Emme Saves the Galaxy,PS5,"['Megalithic Mainframe', 'Create Something Interesting']",['Megalithic Mainframe'],['Puzzle'],,2024-10-31
743630,Jankenup!,PS5,['Humita'],['Dolores Entertainment'],['Action'],,2024-11-15
743434,Last Escape: Dead Complex,PS5,['Mad Jackal Games'],['Mad Jackal Games'],"[""Shoot 'em up""]",,2024-11-06
743321,Math Genius: Multiplication,PS5,['GGmuks'],['GGmuks'],['Educational & Trivia'],,2024-11-06
743315,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
743310,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
743278,Stunt Paradise,PS5,['Brinemedia'],['Brinemedia'],['Platformer'],,2024-11-14
743266,Bioframe Outpost,PS5,['Omni Systems'],['Omni Systems'],['Run & Gun'],,2024-11-07
743248,Dream Town Island,PS4,['Kairosoft'],['Kairosoft'],"['Simulation', 'Management']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Thai']",2024-11-14
743196,O.W.L Projekt,PS5,"['Sagitta Studios', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-11-06
743194,O.W.L Projekt,PS4,"['Sagitta Studios', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-11-06
742520,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,2024-11-04
742519,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,2024-11-04
742404,Rev Grav,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Platformer'],,2024-11-04
739644,Roll Ball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-11-01
739502,The Exit Project: Backstreets,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],,,2024-10-31
739500,The Exit Project: Backstreets,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],,,2024-10-31
739495,Roll Ball,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-11-01
742283,Galaxy Kingdoms,PS4,"['Pretoriano_dev', 'Coliseum Studio']",['AFIL Games'],['Action-Adventure'],,2024-11-20
739407,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-11-01
739482,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-11-01
739075,The Exit Project: Backstreets,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],,,2024-10-31
743203,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
743191,Cyberpunk Hacker,PS4,['MagicProStudio'],['IndieGames3000'],['First Person Shooter'],,2024-09-16
742925,Doodle Hunt,PS5,['Revolt Games'],['Revolt Games'],['Puzzle'],,2024-11-05
742918,Garten of Banban 6,PS4,['Euphoric Brothers'],['Feardemic'],['Adventure'],,2024-10-31
742853,Techtonica,PS5,['Fire Hose Games'],['Fire Hose Games'],"['Simulation', 'Management']","['Japanese', 'French', 'German', 'Dutch', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)']",2024-11-07
742748,For The Warp,PS4,['Massive Galaxy Studios'],['ImaginationOverflow'],"['Roguelite', 'Collectable Card Game']",,2024-10-31
742701,ROUNDS,PS4,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)', 'Portuguese (Brazil)']",2024-11-26
742700,ROUNDS,PS5,"['Friendly Foe', 'Landfall Games']",['Landfall Games'],['Party'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Chinese (simplified)', 'Portuguese (Brazil)']",2024-11-26
742680,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
742622,Duck Run,PS5,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
742621,Duck Run,PS4,['DuDeeki Studio'],['AFIL Games'],['Platformer'],,2024-11-06
742517,Criss Cross Bomb,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,2024-11-04
742405,Criss Cross Bomb,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,2024-11-04
739738,JIGSAW CHRONICLES: Haunting Tales,PS5,['Cudit Savunma Inovasyon Teknoloji Arastirma ve Gelistirme'],['Cudit Savunma Inovasyon Teknoloji Arastirma ve Gelistirme'],['Puzzle'],,2024-11-03
739734,Arcade Room Simulator,PS5,['Zakym'],['Zakym'],"['Puzzle', 'Action']",,2024-11-02
739548,Arcade Room Simulator,PS5,['Zakym'],['Zakym'],"['Puzzle', 'Action']",,2024-11-02
739514,Garten Of Banban 6,PS5,['Euphoric Brothers'],['Feardemic'],['Adventure'],,2024-10-31
739492,Math Genius: Multiplication,PS4,['GGmuks'],['GGmuks'],['Educational & Trivia'],,2024-11-06
739387,Journey to Kreisia,PS5,['EXE-CREATE'],['KEMCO'],"['Role Playing', 'Turn Based']",['Japanese'],2024-11-01
739376,For The Warp,PS5,['Massive Galaxy Studios'],['ImaginationOverflow'],"['Roguelite', 'Collectable Card Game']",,2024-10-31
738864,Roll Ball,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-11-01
738616,Raiden NOVA,PS5,['MOSS'],"['UFO Interactive', 'MOSS']","[""Shoot 'em up""]",['Japanese'],2024-10-31
738776,The Coma 2B: Catacomb,PS5,['Dvora Studio'],['Headup Games'],['Survival Horror'],,2024-10-25
738489,Monarchy,PS5,['Brain Seal'],['Brain Seal'],['Management'],,2024-11-06
738269,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,2024-11-20
738271,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,2024-11-20
738270,Super Rolling Heroes Deluxe,PS5,['Solid Neon Games'],['JanduSoft'],['Platformer'],,2024-11-20
738264,Super Rolling Heroes Deluxe,PS4,['Solid Neon Games'],['JanduSoft'],['Platformer'],,2024-11-20
738267,Super Rolling Heroes Deluxe,PS4,['Solid Neon Games'],['JanduSoft'],['Platformer'],,2024-11-20
735506,Balatro,PS5,['LocalThunk'],['PlayStack'],"['Roguelite', 'Card & Board']",,2024-02-20
728665,Scary bucketman,PS4,['Enningture Game Temple'],['Enningture Game Temple'],['Platformer'],,2024-10-15
738901,CAFE 0 ~The Sleeping Beast~ REMASTERED,PS5,['ROSEVERTE'],['ROSEVERTE'],['Visual Novel'],"['Japanese', 'German', 'Korean']",2024-11-01
738727,It Could Happen to You,PS4,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,2024-10-18
738649,Gorilla Tag,PS5,['Another Axiom'],['Another Axiom'],"['Free to Play', 'Massively Multiplayer']",,2024-11-08
738522,Skater's Solstice,PS5,"['Double Mizzlee', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-10-30
738302,Skater's Solstice,PS4,"['Double Mizzlee', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-10-30
735582,Brick Buster,PS4,['Aristo Studio'],['Aristo Studio'],['Action'],,2024-03-23
735552,Besiege,PS5,['Spiderling Studios'],"['Ultimate Games', 'PLAYISM']",['Action'],"['Japanese', 'French', 'Spanish', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-12-12
735545,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,2024-10-13
735544,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,2024-10-13
735510,Smoothcade,PS5,['2Awesome Studio'],['2Awesome Studio'],['Party'],"['French', 'Spanish', 'German', 'Italian']",2024-11-14
735509,Smoothcade,PS4,['2Awesome Studio'],['2Awesome Studio'],['Party'],"['French', 'Spanish', 'German', 'Italian']",2024-11-14
735356,Isekai Harem Saver,PS4,['CyberStep'],['CyberStep'],['Visual Novel'],['Japanese'],2024-10-15
735317,Hidden Cats in Spooky Town,PS4,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,2024-10-24
735314,Circle Triangle Cross,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],['Action'],,2024-10-22
734987,Hidden Cats in Spooky Town,PS5,['Nukearts Studio'],['Silesia Games'],['Puzzle'],,2024-10-24
734881,Shapik The Quest,PS4,['Rapid Snail'],['Xitilon'],"['Adventure', 'Point & Click']",,2024-09-22
734851,Divine Dynamo Flamefrit,PS5,['Inti CREATES'],['Inti CREATES'],['Action-Adventure'],"['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-11-21
734226,Color Swiper,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,2024-10-24
734225,Color Swiper,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,2024-10-24
737443,Run Tekila Run!,PS5,['Tonguc Bodur'],['Catness Game Studios'],['Action-Adventure'],,2024-11-07
737221,Stickman: Far East Battle,PS5,['Gametry'],['Gametry'],,,2024-10-25
736884,Snaky Snakes,PS5,['Zakym'],['Zakym'],['Action'],,2024-10-26
736817,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,2024-10-26
736798,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,2024-10-26
736588,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,2024-10-26
736587,Snaky Snakes,PS5,['Zakym'],['Zakym'],['Action'],,2024-10-26
736564,Snaky Snakes,PS4,['Zakym'],['Zakym'],['Action'],,2024-10-26
734497,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,PS4,['Kou Shibusawa'],['KOEI TECMO'],"['Strategy', 'Management', 'Turn Based']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-10-24
734498,ROMANCE OF THE THREE KINGDOMS 8 REMAKE,PS5,['Kou Shibusawa'],['KOEI TECMO'],"['Strategy', 'Management', 'Turn Based']","['Japanese', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-10-24
734260,Mechanic Supermarket Simulator,PS4,['Midnight Games'],['Midnight Games'],['Simulation'],,2024-10-19
738032,Cozy Claw Machine,PS5,['Two Llamas'],['Two Llamas'],['Action'],,2024-10-29
737906,Your Average Old School Shmup,PS5,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,2024-10-28
737655,Cute Bite,PS5,['Hanako Games'],['Ratalaika Games'],"['Management', 'Visual Novel']",,2024-10-25
737653,Cute Bite,PS5,['Hanako Games'],['Ratalaika Games'],"['Management', 'Visual Novel']",,2024-10-25
737388,I'm on Observation Duty 6,PS5,"['Notovia', 'Dreamloop Games']",['Dreamloop Games'],['Puzzle'],"['Japanese', 'French', 'German', 'Italian', 'Dutch', 'Russian', 'Korean', 'Swedish', 'Danish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'Arabic', 'Thai']",2024-10-26
736912,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,2024-10-28
736866,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,2024-10-28
736822,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,2024-10-28
736702,Your Average Old School Shmup,PS4,['y-zo studio'],['y-zo studio'],"[""Shoot 'em up""]",,2024-10-28
736451,DEFEAT ME,PS4,"['Xitilon', 'ABA Games']",['Xitilon'],"[""Shoot 'em up""]",,2024-10-26
734767,Awaken - Astral Blade,PS5,['Dark Pigeon Games'],['ESDigital Games'],"['Metroidvania', 'Platformer']",,2024-10-22
734495,Bpop Attack,PS4,['Smobile'],['Smobile'],['Puzzle'],,2024-10-13
734335,Speedollama,PS5,['Chaosmonger Studio'],['Chaosmonger Studio'],['Platformer'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)']",2024-10-21
734294,Color Swiper,PS4,['ThiGames'],['ThiGames'],['Puzzle'],,2024-10-24
734293,Color Swiper,PS5,['ThiGames'],['ThiGames'],['Puzzle'],,2024-10-24
734266,Hexa River,PS5,['Omegga Interactive'],['Omegga Interactive'],['Puzzle'],,2024-10-18
734265,It Could Happen to You,PS5,['Pixel Noire Games'],['Ratalaika Games'],['Visual Novel'],,2024-10-18
736242,Path Builder,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Puzzle'],,2024-10-25
735977,Path Builder,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Puzzle'],,2024-10-25
733649,Pet Kawaii Shop,PS4,['SimulaMaker'],['SimulaMaker'],['Simulation'],,2024-09-07
